brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
33968,for_sale,99000,1,1,5,49388,Terlingua,Texas,79852,600,
88188,for_sale,58800,,,1,841041,Orange,Texas,77632,,
88188,for_sale,58800,,,1,844563,Orange,Texas,77632,,
88188,for_sale,58800,,,1,845421,Orange,Texas,77632,,
88188,for_sale,58800,,,1,859147,Orange,Texas,77632,,
88188,for_sale,58800,,,1,831732,Orange,Texas,77632,,
88188,for_sale,58800,,,1.04,857673,Orange,Texas,77632,,
27052,for_sale,477385,4,3,,462271,Iowa Colony,Texas,77583,2300,
72973,for_sale,55000,,,1.7,1566056,Camp Wood,Texas,78833,,
99668,for_sale,208000,4,2,1.07,745553,Stanton,Texas,79782,1460,
21946,for_sale,259900,2,1,0.23,1412473,Burkeville,Texas,75932,750,
4317,for_sale,144900,2,1,,1261192,Hemphill,Texas,75948,884,
1265,for_sale,59900,3,2,,753779,Hemphill,Texas,75948,1216,
58650,for_sale,179000,3,2,3.61,228747,Burkeville,Texas,75932,1956,
81697,for_sale,95000,2,2,3.28,1610510,Kirbyville,Texas,75956,784,
40236,for_sale,205000,3,3,,1485181,Newton,Texas,75966,2326,
19102,for_sale,349000,6,5,4.41,307382,Newton,Texas,75966,5888,
93123,for_sale,299500,3,4,6.46,773833,Newton,Texas,75966,3804,
22959,for_sale,349000,6,5,4.41,307395,Newton,Texas,75966,5888,2014-06-17
106174,for_sale,249500,2,2,1.19,363547,Hemphill,Texas,75948,1872,2022-04-28
40236,for_sale,235000,3,2,,1355201,Newton,Texas,75966,1978,
100787,for_sale,230000,3,2,1.28,563621,Hemphill,Texas,75948,1680,
57433,for_sale,349000,2,2,0.25,485058,Burkeville,Texas,75932,1260,
4317,for_sale,479000,5,4,6.28,840246,Newton,Texas,75966,4248,2022-05-06
106174,for_sale,550000,3,2,1.3,1422814,Hemphill,Texas,75948,1919,
106174,for_sale,650000,3,3,1.35,1394079,Hemphill,Texas,75948,2328,
100789,for_sale,499000,4,3,,230632,Burkeville,Texas,75932,2320,2022-09-26
100789,for_sale,179900,3,2,2.23,439804,Burkeville,Texas,75932,1240,2022-01-28
