iter	RMSE
0	693184.6739
1	658031.4846
2	625005.0737
3	594792.1126
4	569638.7685
5	544828.58
6	524026.0743
7	505195.9903
8	488381.6463
9	470910.1324
10	457340.6064
11	443923.2006
12	431884.2732
13	420121.7868
14	410471.6001
15	400937.1356
16	391842.4768
17	383971.7864
18	377024.4118
19	369259.223
20	362200.9387
21	355981.683
22	350249.9579
23	344655.9251
24	339303.0824
25	334481.5374
26	329880.8058
27	326496.7242
28	321930.0053
29	318702.4253
30	314207.7542
31	310842.2626
32	308092.9309
33	305200.8673
34	302245.8734
35	300214.5492
36	297426.2402
37	294734.8144
38	292034.393
39	289749.7917
40	287364.1376
41	285147.2083
42	283293.5069
43	281344.2203
44	279281.2665
45	277348.2715
46	275417.4869
47	274258.8611
48	273089.8973
49	271377.0321
50	269951.0003
51	268367.1527
52	266889.3764
53	265384.6041
54	264745.2433
55	263511.4659
56	262563.5973
57	262219.3653
58	260808.2813
59	259793.7378
60	258648.548
61	256818.5812
62	256650.9981
63	255923.6499
64	254990.4932
65	254358.1494
66	253843.7294
67	252619.0195
68	250777.4582
69	249943.813
70	249879.3079
71	248485.5042
72	247308.8514
73	246365.7261
74	245183.514
75	244015.8081
76	243591.6308
77	242280.41
78	241568.851
79	241029.5222
80	240533.4733
81	240151.5709
82	239652.7024
83	238788.2205
84	238139.3649
85	237318.4749
86	236491.5723
87	236020.8992
88	235325.614
89	234726.1933
90	233372.8802
91	232772.0512
92	231740.8878
93	230425.8262
94	229460.6418
95	228456.6859
96	227527.9023
97	227181.0516
98	226710.5429
99	225615.432
