iter	Passed	Remaining
0	25	2564
1	43	2120
2	59	1923
3	78	1879
4	97	1852
5	113	1780
6	131	1746
7	148	1712
8	165	1674
9	182	1643
10	201	1633
11	218	1603
12	236	1585
13	253	1557
14	270	1534
15	288	1514
16	306	1497
17	325	1482
18	342	1462
19	359	1439
20	376	1417
21	395	1400
22	412	1380
23	429	1358
24	445	1336
25	461	1314
26	479	1295
27	496	1275
28	514	1259
29	532	1241
30	549	1223
31	567	1205
32	584	1186
33	603	1171
34	621	1154
35	638	1134
36	654	1114
37	671	1095
38	689	1078
39	706	1060
40	723	1041
41	740	1022
42	757	1003
43	774	985
44	790	966
45	807	947
46	825	930
47	841	912
48	858	893
49	874	874
50	891	856
51	909	839
52	925	821
53	942	803
54	959	784
55	976	766
56	992	748
57	1009	731
58	1026	713
59	1044	696
60	1062	679
61	1079	661
62	1082	635
63	1100	619
64	1118	602
65	1128	581
66	1147	565
67	1164	547
68	1182	531
69	1200	514
70	1202	491
71	1219	474
72	1235	457
73	1252	440
74	1269	423
75	1290	407
76	1306	390
77	1322	373
78	1340	356
79	1357	339
80	1373	322
81	1390	305
82	1408	288
83	1423	271
84	1439	254
85	1456	237
86	1473	220
87	1490	203
88	1506	186
89	1522	169
90	1541	152
91	1557	135
92	1574	118
93	1591	101
94	1607	84
95	1624	67
96	1641	50
97	1659	33
98	1677	16
99	1694	0
